Species,sample_start_date,sample_end_date,value,sample_location_info,sample_lat_DD,sample_long_DD
Anopheles quadrimaculatus,3/21/12,3/22/12,2,Mullins,27.439449,-82.548928
Anopheles quadrimaculatus,3/21/12,3/22/12,4,Buffalo Creek Ball Park,27.578355,-82.483695
Anopheles quadrimaculatus,3/28/12,3/29/12,3,Braden River Park,27.44893,-82.498664
Anopheles quadrimaculatus,4/12/12,4/13/12,1,Braden River Park,27.44893,-82.498664
Anopheles quadrimaculatus,4/12/12,4/13/12,2,Buffalo Creek Ball Park,27.578355,-82.483695
Anopheles quadrimaculatus,5/7/12,5/8/12,148,Port,27.640483,-82.552667
Anopheles quadrimaculatus,5/7/12,5/8/12,10,Fielding,27.529167,-82.588117
Anopheles quadrimaculatus,5/7/12,5/8/12,1,Carrs,27.554018,-82.545481
Anopheles quadrimaculatus,5/7/12,5/8/12,1,Braden River Park,27.44893,-82.498664
Anopheles quadrimaculatus,5/15/12,5/16/12,6,Buffalo Creek Ball Park,27.578355,-82.483695
Anopheles quadrimaculatus,5/21/12,5/22/12,2,Highland Shores,27.516317,-82.537735
Anopheles quadrimaculatus,5/21/12,5/22/12,2,Orbans,27.50312,-82.65739
Anopheles quadrimaculatus,5/21/12,5/22/12,3,Buffalo Creek Ball Park,27.578355,-82.483695
Anopheles quadrimaculatus,5/22/12,5/23/12,11,Port,27.640483,-82.552667
Anopheles quadrimaculatus,5/29/12,5/30/12,1,Fielding,27.529167,-82.588117
Anopheles quadrimaculatus,5/29/12,5/30/12,2,Highland Shores,27.516317,-82.537735
Anopheles quadrimaculatus,5/29/12,5/30/12,1,Palmetto shop,27.533281,-82.565712
Anopheles quadrimaculatus,5/29/12,5/30/12,5,Orbans,27.50312,-82.65739
Anopheles quadrimaculatus,5/29/12,5/30/12,1,Mote Ranch,27.4197,-82.47982
Anopheles quadrimaculatus,5/29/12,5/30/12,1,Tallevast,27.4266,-82.52471
Anopheles quadrimaculatus,5/29/12,5/30/12,1,Lakewood Ranch,27.419517,-82.4262
Anopheles quadrimaculatus,5/29/12,5/30/12,2,Braden Pines,27.43889,-82.43865
Anopheles quadrimaculatus,5/29/12,5/30/12,1,Myakka,27.349733,-82.157581
Anopheles quadrimaculatus,5/29/12,5/30/12,1,Keentown,27.570935,-82.137841
Anopheles quadrimaculatus,5/29/12,5/30/12,2,Palmetto Ball Park,27.531,-82.58235
Anopheles quadrimaculatus,5/29/12,5/30/12,3,Braden River Park,27.44893,-82.498664
Anopheles quadrimaculatus,5/29/12,5/30/12,2,Buffalo Creek Ball Park,27.578355,-82.483695
Anopheles quadrimaculatus,6/4/12,6/5/12,21,Chapman Rd.,27.616367,-82.5353
Anopheles quadrimaculatus,6/4/12,6/5/12,9,Port,27.640483,-82.552667
Anopheles quadrimaculatus,6/4/12,6/5/12,1,Carrs,27.554018,-82.545481
Anopheles quadrimaculatus,6/4/12,6/5/12,2,Orbans,27.50312,-82.65739
Anopheles quadrimaculatus,6/4/12,6/5/12,1,Magnolia Manor,27.481256,-82.48042
Anopheles quadrimaculatus,6/4/12,6/5/12,1,Lakewood Ranch,27.419517,-82.4262
Anopheles quadrimaculatus,6/4/12,6/5/12,4,Erie Rd.,27.574079,-82.5041
Anopheles quadrimaculatus,6/4/12,6/5/12,1,Thousand Oaks,27.564989,-82.480332
Anopheles quadrimaculatus,6/4/12,6/5/12,1,Palmetto Ball Park,27.531,-82.58235
Anopheles quadrimaculatus,6/5/12,6/6/12,1,Parrish,27.57505,-82.419667
Anopheles quadrimaculatus,6/7/12,6/8/12,31,Port,27.640483,-82.552667
Anopheles quadrimaculatus,6/11/12,6/12/12,1,Mullins,27.439449,-82.548928
Anopheles quadrimaculatus,6/11/12,6/12/12,2,Braden Pines,27.43889,-82.43865
Anopheles quadrimaculatus,6/11/12,6/12/12,3,Palmetto Ball Park,27.531,-82.58235
Anopheles quadrimaculatus,6/14/12,6/15/12,3,Parrish/Britt Rd.,27.564967,-82.424886
Anopheles quadrimaculatus,6/18/12,6/19/12,1,Fielding,27.529167,-82.588117
Anopheles quadrimaculatus,6/18/12,6/19/12,2,Orbans,27.50312,-82.65739
Anopheles quadrimaculatus,6/18/12,6/19/12,1,Palm-Aire,27.406663,-82.504054
Anopheles quadrimaculatus,6/18/12,6/19/12,7,Mote Ranch,27.4197,-82.47982
Anopheles quadrimaculatus,6/18/12,6/19/12,2,Tallevast,27.4266,-82.52471
Anopheles quadrimaculatus,6/18/12,6/19/12,4,Waterline Rd,27.4894,-82.361667
Anopheles quadrimaculatus,6/18/12,6/19/12,6,Jamie's Way,27.46357,-82.30379
Anopheles quadrimaculatus,6/18/12,6/19/12,4,Gopher Hill,27.40805,-82.260329
Anopheles quadrimaculatus,6/18/12,6/19/12,10,Sandy Baptist,27.272953,-82.116503
Anopheles quadrimaculatus,6/18/12,6/19/12,7,Lakewood Ranch HS,27.44242,-82.43578
Anopheles quadrimaculatus,6/19/12,6/20/12,1,Parrish,27.57505,-82.419667
Anopheles quadrimaculatus,6/20/12,6/21/12,1,Frog Creek,27.590917,-82.548
Anopheles quadrimaculatus,6/20/12,6/21/12,1,Parrish,27.57505,-82.419667
Anopheles quadrimaculatus,6/27/12,6/28/12,1,Frog Creek,27.590917,-82.548
Anopheles quadrimaculatus,6/27/12,6/28/12,103,Grassfarm Rd.,27.627967,-82.496833
Anopheles quadrimaculatus,6/27/12,6/28/12,21,Port,27.640483,-82.552667
Anopheles quadrimaculatus,6/28/12,6/29/12,7,Parrish,27.57505,-82.419667
Anopheles quadrimaculatus,6/28/12,6/29/12,5,Parrish,27.57484,-82.419638
Anopheles quadrimaculatus,6/29/12,6/30/12,4,French,27.603067,-82.535717
Anopheles quadrimaculatus,6/29/12,6/30/12,25,Buffalo Creek Ball Park,27.578355,-82.483695
Anopheles quadrimaculatus,7/5/12,7/6/12,3,Mote Ranch,27.4197,-82.47982
Anopheles quadrimaculatus,7/6/12,7/7/12,76,Chapman Rd.,27.616367,-82.5353
Anopheles quadrimaculatus,7/6/12,7/7/12,11,French,27.603067,-82.535717
Anopheles quadrimaculatus,7/9/12,7/10/12,3,Palmetto shop,27.533281,-82.565712
Anopheles quadrimaculatus,7/9/12,7/10/12,12,Palm-Aire,27.406663,-82.504054
Anopheles quadrimaculatus,7/9/12,7/10/12,43,Mote Ranch,27.4197,-82.47982
Anopheles quadrimaculatus,7/9/12,7/10/12,24,Rye Rd,27.484586,-82.40161
Anopheles quadrimaculatus,7/9/12,7/10/12,14,Braden Pines,27.43889,-82.43865
Anopheles quadrimaculatus,7/9/12,7/10/12,4,Upper Manatee,27.51261,-82.4319
Anopheles quadrimaculatus,7/9/12,7/10/12,20,Thousand Oaks,27.564989,-82.480332
Anopheles quadrimaculatus,7/9/12,7/10/12,15,Lakewood Ranch HS,27.44242,-82.43578
Anopheles quadrimaculatus,7/11/12,7/12/12,220,Grassfarm Rd.,27.627967,-82.496833
Anopheles quadrimaculatus,7/11/12,7/12/12,6,Waterline Rd,27.4894,-82.361667
Anopheles quadrimaculatus,7/12/12,7/13/12,94,Lakewood Ranch HS,27.44242,-82.43578
Anopheles quadrimaculatus,7/16/12,7/17/12,21,Thousand Oaks,27.564989,-82.480332
Anopheles quadrimaculatus,7/16/12,7/17/12,2,Colonial Baptist Church,27.475697,-82.613417
Anopheles quadrimaculatus,7/17/12,7/18/12,1,Fulwood,27.475085,-82.551283
Anopheles quadrimaculatus,7/17/12,7/18/12,146,Parrish,27.57505,-82.419667
Anopheles quadrimaculatus,7/18/12,7/19/12,25,Parrish,27.57484,-82.419638
Anopheles quadrimaculatus,7/20/12,7/21/12,22,Thousand Oaks,27.564989,-82.480332
Anopheles quadrimaculatus,7/20/12,7/21/12,8,Parrish/Britt Rd.,27.564967,-82.424886
Anopheles quadrimaculatus,7/23/12,7/24/12,8,Palmetto shop,27.533281,-82.565712
Anopheles quadrimaculatus,7/23/12,7/24/12,22,Lakewood Ranch,27.419517,-82.4262
Anopheles quadrimaculatus,7/23/12,7/24/12,33,Parrish,27.57484,-82.419638
Anopheles quadrimaculatus,7/23/12,7/24/12,47,Braden River Park,27.44893,-82.498664
Anopheles quadrimaculatus,7/25/12,7/26/12,41,Grassfarm Rd.,27.627967,-82.496833
Anopheles quadrimaculatus,7/25/12,7/26/12,12,Erie Rd.,27.574079,-82.5041
Anopheles quadrimaculatus,7/25/12,7/26/12,8,Parrish,27.57505,-82.419667
Anopheles quadrimaculatus,7/25/12,7/26/12,9,Parrish,27.57484,-82.419638
Anopheles quadrimaculatus,7/25/12,7/26/12,1,Parrish/Britt Rd.,27.564967,-82.424886
Anopheles quadrimaculatus,7/26/12,7/27/12,14,Parrish,27.57505,-82.419667
Anopheles quadrimaculatus,7/30/12,7/31/12,161,Grassfarm Rd.,27.627967,-82.496833
Anopheles quadrimaculatus,7/30/12,7/31/12,2,Fielding,27.529167,-82.588117
Anopheles quadrimaculatus,7/30/12,7/31/12,3,Highland Shores,27.516317,-82.537735
Anopheles quadrimaculatus,7/30/12,7/31/12,12,Palmetto shop,27.533281,-82.565712
Anopheles quadrimaculatus,7/30/12,7/31/12,1,Manatee HS,27.48887,-82.59214
Anopheles quadrimaculatus,7/30/12,7/31/12,2,Fulwood,27.475085,-82.551283
Anopheles quadrimaculatus,7/30/12,7/31/12,2,Mullins,27.439449,-82.548928
Anopheles quadrimaculatus,7/30/12,7/31/12,4,Palm-Aire,27.406663,-82.504054
Anopheles quadrimaculatus,7/30/12,7/31/12,22,Mote Ranch,27.4197,-82.47982
Anopheles quadrimaculatus,7/30/12,7/31/12,9,Lakewood Ranch,27.419517,-82.4262
Anopheles quadrimaculatus,7/30/12,7/31/12,12,Soccer Field,27.426485,-82.376623
